Variable name,variable representations,allowable units,exception units,preferred unit for normalization,minimum value by domain knowledge,maximum value by domain knowledge,domain knowledge source
Immunoglobulin D,Immunoglobulin D,,TEMPORAL,,,,
Immunoglobulin E,Immunoglobulin E,,TEMPORAL,,,,
Immunoglobulin G,Immunoglobulin G,,TEMPORAL,,,,
Immunoglobulin G Subclass 1,Immunoglobulin G Subclass 1,,TEMPORAL,,,,
Immunoglobulin G Subclass 2,Immunoglobulin G Subclass 2,,TEMPORAL,,,,
Immunoglobulin G Subclass 3,Immunoglobulin G Subclass 3,,TEMPORAL,,,,
Immunoglobulin G Subclass 4,Immunoglobulin G Subclass 4,,TEMPORAL,,,,
Immunoglobulin G/Creatinine,Immunoglobulin G/Creatinine,,TEMPORAL,,,,
Immunoglobulin M,Immunoglobulin M,,TEMPORAL,,,,
Inclusion Bodies,Inclusion Bodies,,TEMPORAL,,,,
Indican,Indican,,TEMPORAL,,,,
Indirect Bilirubin,Indirect Bilirubin,,TEMPORAL,,,,
Industrial Mix Antigen IgE Antibody,Industrial Mix Antigen IgE Antibody,,TEMPORAL,,,,
Industrial Mix Antigen IgG Antibody,Industrial Mix Antigen IgG Antibody,,TEMPORAL,,,,
Influenza A Antigen,Influenza A Antigen,,TEMPORAL,,,,
Influenza A IgG Antibody,Influenza A IgG Antibody,,TEMPORAL,,,,
Influenza A/B Antigen,Influenza A/B Antigen,,TEMPORAL,,,,
Influenza B Antigen,Influenza B Antigen,,TEMPORAL,,,,
Influenza B IgG Antibody,Influenza B IgG Antibody,,TEMPORAL,,,,
Inhibin A,Inhibin A,,TEMPORAL,,,,
Inhibin B,Inhibin B,,TEMPORAL,,,,
Insulin,Insulin,,TEMPORAL,,,,
Insulin Antibody,Insulin Antibody,,TEMPORAL,,,,
Insulin Autoantibody,Insulin Autoantibody,,TEMPORAL,,,,
Insulin Resistance,Insulin Resistance,,TEMPORAL,,,,
Insulin Sensitivity,Insulin Sensitivity,,TEMPORAL,,,,
Insulin-Like Growth Factor Binding Prot1,Insulin-Like Growth Factor Binding Prot1|Insulin-Like Growth Factor Binding Protein 1,,TEMPORAL,,,,
Insulin-Like Growth Factor Binding Prot2,Insulin-Like Growth Factor Binding Prot2|Insulin-Like Growth Factor Binding Protein 2,,TEMPORAL,,,,
Insulin-Like Growth Factor Binding Prot3,Insulin-Like Growth Factor Binding Prot3|Insulin-Like Growth Factor Binding Protein 3,,TEMPORAL,,,,
Insulin-like Growth Factor-1,Insulin-like Growth Factor-1,,TEMPORAL,,,,
Insulin-like Growth Factor-2,Insulin-like Growth Factor-2,,TEMPORAL,,,,
Insulinoma-Associated Protein 2 Antibody,Insulinoma-Associated Protein 2 Antibody,,TEMPORAL,,,,
Intercellular Adhesion Molecule,Intercellular Adhesion Molecule,,TEMPORAL,,,,
Intercellular Adhesion Molecule 1,CD54|Intercellular Adhesion Molecule 1,,TEMPORAL,,,,
Interferon Alpha,Interferon Alpha,,TEMPORAL,,,,
Interferon Beta,Interferon Beta,,TEMPORAL,,,,
Interferon Gamma,Interferon Gamma,,TEMPORAL,,,,
Interleukin 1,Interleukin 1,,TEMPORAL,,,,
Interleukin 1 Alpha,Interleukin 1 Alpha,,TEMPORAL,,,,
Interleukin 1 Beta,IL-1B|IL1Beta|Interleukin 1 Beta|Interleukin 1B,,TEMPORAL,,,,
Interleukin 1 Receptor Antagonist,IL-1RA|Interleukin 1 Receptor Antagonist,,TEMPORAL,,,,
Interleukin 1 Receptor-Like 1,Interleukin 1 Receptor-Like 1,,TEMPORAL,,,,
Interleukin 10,Interleukin 10,,TEMPORAL,,,,
Interleukin 11,Interleukin 11,,TEMPORAL,,,,
Interleukin 12,Interleukin 12|Interleukin 12 p70,,TEMPORAL,,,,
Interleukin 12 Beta,Interleukin 12 Beta|Interleukin 12 p40,,TEMPORAL,,,,
Interleukin 12+23 p40,Interleukin 12+23 p40,,TEMPORAL,,,,
Interleukin 13,Interleukin 13,,TEMPORAL,,,,
Interleukin 14,Interleukin 14,,TEMPORAL,,,,
Interleukin 15,Interleukin 15,,TEMPORAL,,,,
Interleukin 16,Interleukin 16,,TEMPORAL,,,,
Interleukin 17,Interleukin 17,,TEMPORAL,,,,
Interleukin 18,Interleukin 18,,TEMPORAL,,,,
Interleukin 19,Interleukin 19,,TEMPORAL,,,,
Interleukin 2,Interleukin 2,,TEMPORAL,,,,
Interleukin 2 Receptor Subunit Alpha,IL-2Ra|Interleukin 2 Receptor Subunit Alpha,,TEMPORAL,,,,
Interleukin 2 Receptor Subunit Beta,IL-2Rb|Interleukin 2 Receptor Subunit Beta,,TEMPORAL,,,,
Interleukin 20,Interleukin 20,,TEMPORAL,,,,
Interleukin 21,Interleukin 21,,TEMPORAL,,,,
Interleukin 22,Interleukin 22,,TEMPORAL,,,,
Interleukin 23,Interleukin 23,,TEMPORAL,,,,
Interleukin 24,Interleukin 24,,TEMPORAL,,,,
Interleukin 25,Interleukin 25,,TEMPORAL,,,,
Interleukin 26,Interleukin 26,,TEMPORAL,,,,
Interleukin 27,Interleukin 27,,TEMPORAL,,,,
Interleukin 28,Interleukin 28,,TEMPORAL,,,,
Interleukin 29,Interleukin 29,,TEMPORAL,,,,
Interleukin 3,Interleukin 3,,TEMPORAL,,,,
Interleukin 30,Interleukin 30,,TEMPORAL,,,,
Interleukin 31,Interleukin 31,,TEMPORAL,,,,
Interleukin 32,Interleukin 32,,TEMPORAL,,,,
Interleukin 33,Interleukin 33,,TEMPORAL,,,,
Interleukin 4,Interleukin 4,,TEMPORAL,,,,
Interleukin 5,Interleukin 5,,TEMPORAL,,,,
Interleukin 6,Interleukin 6,,TEMPORAL,,,,
Interleukin 7,Interleukin 7,,TEMPORAL,,,,
Interleukin 8,Interleukin 8,,TEMPORAL,,,,
Interleukin 9,Interleukin 9,,TEMPORAL,,,,
Intestinal Specific Alkaline Phosphatase,Intestinal Specific Alkaline Phosphatase,,TEMPORAL,,,,
Inulin,Inulin,,TEMPORAL,,,,
Inulin Clearance,Inulin Clearance,,TEMPORAL,,,,
Iohexol,Iohexol,,TEMPORAL,,,,
Iohexol Clearance,Iohexol Clearance,,TEMPORAL,,,,
Iothalamate Clearance,Iothalamate Clearance,,TEMPORAL,,,,
Iothalamate Clearance Adjusted for BSA,Iothalamate Clearance Adjusted for BSA,,TEMPORAL,,,,
Iron,FE|Iron,,TEMPORAL,,,,
Iron Excretion Rate,Iron Excretion Rate,,TEMPORAL,,,,
Islet Amyloid Polypeptide,Amylin|Islet Amyloid Polypeptide,,TEMPORAL,,,,
Islet Antigen 2 Autoantibody,ICA-512|Islet Antigen 2 Autoantibody|Islet Cell Antigen 512 Autoantibody,,TEMPORAL,,,,
Islet Cell 512 Antibody,Islet Cell 512 Antibody,,TEMPORAL,,,,
Islet Cell 512 Antigen,Islet Cell 512 Antigen,,TEMPORAL,,,,
Islet Cell Cytoplasmic IgG Antibody,Islet Cell Cytoplasmic IgG Antibody,,TEMPORAL,,,,
Islet Neogenesis Assoc Protein Antibody,Islet Neogenesis Assoc Protein Antibody,,TEMPORAL,,,,
Isoleucine,Isoleucine,,TEMPORAL,,,,
JC Virus Antibody,JC Polyomavirus Antibody|JC Virus Antibody|JCV Antibody|John Cunningham Virus Antibody,,TEMPORAL,,,,
Jo-1 Antibody,Jo-1 Antibody,,TEMPORAL,,,,
Kallikrein-2,Kallikrein-2,,TEMPORAL,,,,
"Kappa Light Chain, Free","Bence-Jones, Kappa|Kappa Light Chain, Free",,TEMPORAL,,,,
"Kappa Lt Chain,Free/Lambda Lt Chain,Free","Kappa Lt Chain,Free/Lambda Lt Chain,Free",,TEMPORAL,,,,
Ketone Bodies,Ketone Bodies,,TEMPORAL,,,,
Ketones,Ketones,,TEMPORAL,,,,
Keyhole Limpet Hemocyanin IgG Antibody,Keyhole Limpet Hemocyanin IgG Antibody,,TEMPORAL,,,,
Keyhole Limpet Hemocyanin IgM Antibody,Keyhole Limpet Hemocyanin IgM Antibody,,TEMPORAL,,,,
Kidney Injury Molecule-1,Hepatitis A Virus Cellular Receptor 1|KIM-1|Kidney Injury Molecule-1,,TEMPORAL,,,,
Klotho,Klotho,,TEMPORAL,,,,
Kurloff Cells,Kurloff Cells,,TEMPORAL,,,,
Lactate Dehydrogenase,Lactate Dehydrogenase,,TEMPORAL,,,,
Lactate Dehydrogenase/Creatinine,Lactate Dehydrogenase/Creatinine,,TEMPORAL,,,,
Lactic Acid,2-hydroxypropanoic acid|Lactate|Lactic Acid|LACTATEABG,,TEMPORAL,,,,
Lactoferrin,Lactoferrin|Lactotransferrin,,TEMPORAL,,,,
Lactoferrin Antibody,Lactoferrin Antibody,,TEMPORAL,,,,
"Lambda Light Chain, Free","Bence-Jones, Lambda|Lambda Light Chain, Free",,TEMPORAL,,,,
Large Platelets,Large Platelets,,TEMPORAL,,,,
Large Unstained Cells,Large Unstained Cells,,TEMPORAL,,,,
Large Unstained Cells/Leukocytes,Large Unstained Cells/Leukocytes,,TEMPORAL,,,,
LDH Isoenzyme 1,LDH Isoenzyme 1,,TEMPORAL,,,,
LDH Isoenzyme 1/LDH,LDH Isoenzyme 1/LDH,,TEMPORAL,,,,
LDH Isoenzyme 2,LDH Isoenzyme 2,,TEMPORAL,,,,
LDH Isoenzyme 2/LDH,LDH Isoenzyme 2/LDH,,TEMPORAL,,,,
LDH Isoenzyme 3,LDH Isoenzyme 3,,TEMPORAL,,,,
LDH Isoenzyme 3/LDH,LDH Isoenzyme 3/LDH,,TEMPORAL,,,,
LDH Isoenzyme 4,LDH Isoenzyme 4,,TEMPORAL,,,,
LDH Isoenzyme 4/LDH,LDH Isoenzyme 4/LDH,,TEMPORAL,,,,
LDH Isoenzyme 5,LDH Isoenzyme 5,,TEMPORAL,,,,
LDH Isoenzyme 5/LDH,LDH Isoenzyme 5/LDH,,TEMPORAL,,,,
LDL Cholesterol,LDL Cholesterol|LDLCALC,,TEMPORAL,,,,
LDL Cholesterol/HDL Cholesterol,LDL Cholesterol/HDL Cholesterol,,TEMPORAL,,,,
LDL Particle Size,LDL Particle Size,,TEMPORAL,,,,
LDL Particles,LDL Particles,,TEMPORAL,,,,
LDL Subtype Pattern,LDL Subtype Pattern,,TEMPORAL,,,,
Left Shift Neutrophils,Left Shift Neutrophils,,TEMPORAL,,,,
Legionella pneumophila Antigen,Legionella pneumophila Antigen,,TEMPORAL,,,,
Legionella pneumophila IgG Antibody,Legionella pneumophila IgG Antibody,,TEMPORAL,,,,
Legionella pneumophila IgG IgM Antibody,Legionella pneumophila IgG IgM Antibody,,TEMPORAL,,,,
Legionella pneumophila IgM Antibody,Legionella pneumophila IgM Antibody,,TEMPORAL,,,,
Leptin,Leptin,,TEMPORAL,,,,
Leucine,Leucine,,TEMPORAL,,,,
Leucine Aminopeptidase,Leucine Aminopeptidase,,TEMPORAL,,,,
Leucine Crystals,Leucine Crystals,,TEMPORAL,,,,
Leukemia Inhibitory Factor,Leukemia Inhibitory Factor,,TEMPORAL,,,,
Leukemic Blasts,Leukemic Blasts,,TEMPORAL,,,,
Leukemic Blasts/Lymphocytes,Leukemic Blasts/Lymphocytes,,TEMPORAL,,,,
Leukemic Cells,Leukemic Cells|Residual Leukemic Cells,,TEMPORAL,,,,
Leukocyte Cell Clumps,Leukocyte Cell Clumps|WBC Clumps|White Blood Cell Clumps,,TEMPORAL,,,,
Leukocyte Cell Morphology,Leukocyte Cell Morphology|WBC Morphology|White Blood Cell Morphology,,TEMPORAL,,,,
Leukocyte Esterase,Leukocyte Esterase,,TEMPORAL,,,,
Leukocytes,Leukocytes|White Blood Cells|WBC|White Blood Cell|leukocyte,,TEMPORAL,,,,
Leukocytes/Total Cells,Leukocytes/Total Cells|WBC/Total Cells,,TEMPORAL,,,,
Leukotriene B4,Leukotriene B4,,TEMPORAL,,,,
Leukotriene D4,Leukotriene D4,,TEMPORAL,,,,
Leukotriene E4,Leukotriene E4,,TEMPORAL,,,,
Lipase,Lipase|Total Lipase,,TEMPORAL,,,,
"Lipase, Gastric","Gastric Triacylglycerol Lipase|LIPF|Lipase, Gastric",,TEMPORAL,,,,
"Lipase, Lysosomal Acid","Acid Cholesteryl Ester Hydrolase|LAL|LIPA|Lipase, Lysosomal Acid|Lysosomal Lipase",,TEMPORAL,,,,
"Lipase, Pancreatic","Lipase, Pancreatic|PNLIP|Pancreatic Triacylglycerol Lipase",,TEMPORAL,,,,
Lipemic Index,Lipemia|Lipemic Index,,TEMPORAL,,,,
Lipoarabinomannan,Lipoarabinomannan,,TEMPORAL,,,,
Lipocalin-2,Lipocalin-2,,TEMPORAL,,,,
Lipocalin-2/Creatinine,Lipocalin-2/Creatinine,,TEMPORAL,,,,
Lipoprotein Associated Phospholipase A2,Lipoprotein Associated Phospholipase A2,,TEMPORAL,,,,
Lipoprotein-a,Lipoprotein-a,,TEMPORAL,,,,
Liquefaction Time,Liquefaction Time,,TEMPORAL,,,,
Liver Kidney Microsomal Type 1 Antibody,LKM-1|Liver Kidney Microsomal Type 1 Antibody,,TEMPORAL,,,,
Liver Kidney Microsomal Type 1 IgA Ab,Liver Kidney Microsomal Type 1 IgA Ab,,TEMPORAL,,,,
Liver Kidney Microsomal Type 1 IgG Ab,Liver Kidney Microsomal Type 1 IgG Ab,,TEMPORAL,,,,
Liver Kidney Microsomal Type 1 IgM Ab,Liver Kidney Microsomal Type 1 IgM Ab,,TEMPORAL,,,,
Liver Specific Alkaline Phosphatase,Liver Specific Alkaline Phosphatase,,TEMPORAL,,,,
Lorazepam,Lorazepam,,TEMPORAL,,,,
Low Absorption Retic/Reticulocytes,Low Absorption Retic/Reticulocytes,,TEMPORAL,,,,
Low Absorption Reticulocytes,Low Absorption Reticulocytes,,TEMPORAL,,,,
Lupus Anticoagulant Sensitive APTT,APTT-LA|Lupus Anticoagulant Sensitive APTT,,TEMPORAL,,,,
Luteinizing Hormone,Luteinizing Hormone,,TEMPORAL,,,,
Lymphoblasts,Lymphoblasts,,TEMPORAL,,,,
Lymphoblasts/Leukocytes,Lymphoblasts/Leukocytes,,TEMPORAL,,,,
Lymphocytes,Lymphocytes,,TEMPORAL,,,,
Lymphocytes Activated,Lymphocytes Activated,,TEMPORAL,,,,
Lymphocytes Atypical,Lymphocytes Atypical,,TEMPORAL,,,,
Lymphocytes Atypical/Leukocytes,Lymphocytes Atypical/Leukocytes,,TEMPORAL,,,,
Lymphocytes/Leukocytes,Lymphocytes/Leukocytes,,TEMPORAL,,,,
Lymphocytes/Non-Squam Epi Cells,Lymphocytes/Non-Squam Epi Cells,,TEMPORAL,,,,
Lymphocytes/Total Cells,Lymphocytes/Total Cells,,TEMPORAL,,,,
Lymphoid Cells,Lymphoid Cells,,TEMPORAL,,,,
Lymphoma Cells,Lymphoma Cells,,TEMPORAL,,,,
Lymphoma Cells/Lymphocytes,Lymphoma Cells/Lymphocytes,,TEMPORAL,,,,
Lymphotactin,Chemokine Ligand 1|Lymphotactin,,TEMPORAL,,,,
Lymphotoxin Alpha,Lymphotoxin Alpha|TNF-beta|Tumor Necrosis Factor Beta,,TEMPORAL,,,,
Lysergic Acid Diethylamide,Acid|Lysergic Acid Diethylamide,,TEMPORAL,,,,
Lysine,Lysine,,TEMPORAL,,,,
Lysozyme,Lysozyme,,TEMPORAL,,,,
M. tuberculosis IFN Gamma Response,M. tuberculosis IFN Gamma Response|Mycobacterium tuberculosis IFN Gamma Response,,TEMPORAL,,,,
Macroamylase,Macroamylase,,TEMPORAL,,,,
Macrocytes,Macrocytes,,TEMPORAL,,,,
Macrophage Colony Stimulating Factor,Macrophage Colony Stimulating Factor,,TEMPORAL,,,,
Macrophage Inflammatory Protein 1 Alpha,Chemokine Ligand 3|Macrophage Inflammatory Protein 1 Alpha,,TEMPORAL,,,,
Macrophage Inflammatory Protein 1 Beta,Chemokine Ligand 4|Macrophage Inflammatory Protein 1 Beta,,TEMPORAL,,,,
Macrophage Inflammatory Protein 1 Gamma,Macrophage Inflammatory Protein 1 Gamma,,TEMPORAL,,,,
Macrophage-Derived Chemokine,Chemokine Ligand 22|Macrophage-Derived Chemokine,,TEMPORAL,,,,
Macrophages,Macrophages,,TEMPORAL,,,,
Macrophages/Leukocytes,Macrophages/Leukocytes,,TEMPORAL,,,,
Macrophages/Non-Squam Epi Cells,Macrophages/Non-Squam Epi Cells,,TEMPORAL,,,,
Macrophages/Total Cells,Macrophages/Total Cells,,TEMPORAL,,,,
Magnesium,Magnesium|mg,,TEMPORAL,,,,
Magnesium/Creatinine,Magnesium/Creatinine,,TEMPORAL,,,,
"Malignant Cells, NOS","Malignant Cells, NOS",,TEMPORAL,,,,
"Malignant Cells, NOS/Blood Cells","Malignant Cells, NOS/Blood Cells",,TEMPORAL,,,,
Mast Cells,Mast Cells|Mastocytes,,TEMPORAL,,,,
Mast Cells/Total Cells,Mast Cells/Total Cells,,TEMPORAL,,,,
Matrix Metalloproteinase 1,Interstitial Collagenase|Matrix Metalloproteinase 1,,TEMPORAL,,,,
Matrix Metalloproteinase 2,Gelatinase A|Matrix Metalloproteinase 2,,TEMPORAL,,,,
Matrix Metalloproteinase 3,Matrix Metalloproteinase 3|Stromelysin 1,,TEMPORAL,,,,
Matrix Metalloproteinase 7,Matrilysin|Matrix Metalloproteinase 7,,TEMPORAL,,,,
Matrix Metalloproteinase 8,Matrix Metalloproteinase 8|Neutrophil Collagenase,,TEMPORAL,,,,
Matrix Metalloproteinase 9,Gelatinase B|Matrix Metalloproteinase 9,,TEMPORAL,,,,
Mature Plasma Cells,Mature Plasma Cells|Plasmacytes,,TEMPORAL,,,,
Mature Plasma Cells/Lymphocytes,Mature Plasma Cells/Lymphocytes,,TEMPORAL,,,,
Mature Plasma Cells/Total Cells,Mature Plasma Cells/Total Cells,,TEMPORAL,,,,
Maturing Erythroid Cells/Total Cells,Maturing Erythroid/Total Cells,,TEMPORAL,,,,
Maturing Myeloid Cells/Total Cells,Maturing Myeloid/Total Cells,,TEMPORAL,,,,
May-Hegglin Anomaly,May-Hegglin Anomaly,,TEMPORAL,,,,
MCV Reticulocytes,MCV Reticulocytes|MCVr|Mean Corpuscular Volume Reticulocytes,,TEMPORAL,,,,
Mean Platelet Component,Mean Platelet Component,,TEMPORAL,,,,
Mean Platelet Dry Mass,Mean Platelet Dry Mass,,TEMPORAL,,,,
Mean Platelet Volume,Mean Platelet Volume,,TEMPORAL,,,,
Medazepam,Medazepam,,TEMPORAL,,,,
Medium Absorption Retic/Reticulocytes,Medium Absorption Retic/Reticulocytes,,TEMPORAL,,,,
Medium Absorption Reticulocytes,Medium Absorption Reticulocytes,,TEMPORAL,,,,
Megakaryoblasts,Megakaryoblasts,,TEMPORAL,,,,
Megakaryoblasts/Total Cells,Megakaryoblasts/Total Cells,,TEMPORAL,,,,
Megakaryocyte and Megakaryoblast Morph,Megakaryocyte and Megakaryoblast Morph|Megakaryocyte and Megakaryoblast Morphology,,TEMPORAL,,,,
Megakaryocytes,Megakaryocytes,,TEMPORAL,,,,
Megakaryocytes/Total Cells,Megakaryocytes/Total Cells,,TEMPORAL,,,,
Melatonin,Melatonin,,TEMPORAL,,,,
Meningeal Cells,Meningeal Cells,,TEMPORAL,,,,
Meningeal Cells/Total Cells,Meningeal Cells/Total Cells,,TEMPORAL,,,,
Metamyelocytes,Metamyelocytes,,TEMPORAL,,,,
Metamyelocytes/Leukocytes,Metamyelocytes/Leukocytes,,TEMPORAL,,,,
Metamyelocytes/Total Cells,Metamyelocytes/Total Cells,,TEMPORAL,,,,
Metanephrine,Metadrenaline|Metanephrine,,TEMPORAL,,,,
Metarubricyte,Metarubricyte|Orthochromatophilic Normoblast|Orthochromic Erythroblast|Orthochromic Normoblast,,TEMPORAL,,,,
Metarubricyte/Total Cells,Metarubricyte/Total Cells,,TEMPORAL,,,,
Methadone,Methadone,,TEMPORAL,,,,
Methamphetamine,Methamphetamine,,TEMPORAL,,,,
Methaqualone,Methaqualone,,TEMPORAL,,,,
Methemoglobin,Methemoglobin,,TEMPORAL,,,,
Methionine,Methionine,,TEMPORAL,,,,
Methylmalonic Acid,Methylmalonic Acid,,TEMPORAL,,,,
Microcytes,Microcytes,,TEMPORAL,,,,
Microfilaria,Microfilaria,,TEMPORAL,,,,
Mid Cell Fraction,Mid Cell Fraction|Mid Cells,,TEMPORAL,,,,
Midazolam,Midazolam,,TEMPORAL,,,,
Mixed Antigen IgE Antibody,Mixed Antigen IgE Antibody,,TEMPORAL,,,,
Mixed Casts,Mixed Casts,,TEMPORAL,,,,
Mixed Lymphocyte Reaction,Mixed Leukocyte Reaction|Mixed Lymphocyte Reaction,,TEMPORAL,,,,
Mold Mix Antigen IgA Antibody,Mold Mix Antigen IgA Antibody,,TEMPORAL,,,,
Mold Mix Antigen IgE Antibody,Mold Mix Antigen IgE Antibody,,TEMPORAL,,,,
Mold Mix Antigen IgG Antibody,Mold Mix Antigen IgG Antibody,,TEMPORAL,,,,
Monoblasts,Monoblasts,,TEMPORAL,,,,
Monoblasts/Leukocytes,Monoblasts/Leukocytes,,TEMPORAL,,,,
Monoclonal Protein,Monoclonal Immunoglobulin Protein|Monoclonal Protein|Paraprotein,,TEMPORAL,,,,
Monoclonal Protein Spike,Monoclonal Protein Spike,,TEMPORAL,,,,
Monocyte Chemotactic Protein 1,Monocyte Chemotactic Protein 1,,TEMPORAL,,,,
Monocytes,Monocytes,,TEMPORAL,,,,
Monocytes/Leukocytes,Monocytes/Leukocytes,,TEMPORAL,,,,
Monocytes/Macrocytes,Monocytes/Macrocytes,,TEMPORAL,,,,
Monocytes/Non-Squam Epi Cells,Monocytes/Non-Squam Epi Cells,,TEMPORAL,,,,
Monocytes/Total Cells,Monocytes/Total Cells,,TEMPORAL,,,,
Monocytoid Cells,Monocytoid Cells,,TEMPORAL,,,,
Monocytoid Cells/Leukocytes,Monocytoid Cells/Leukocytes,,TEMPORAL,,,,
Monocytoid Cells/Total Cells,Monocytoid Cells/Total Cells,,TEMPORAL,,,,
Monosodium Urate Crystals,Monosodium Urate Crystals,,TEMPORAL,,,,
Morphine,Morphine,,TEMPORAL,,,,
Mu Glutathione-S-Transferase,Mu Glutathione-S-Transferase,,TEMPORAL,,,,
Mu Glutathione-S-Transferase/Creatinine,Mu Glutathione-S-Transferase/Creatinine,,TEMPORAL,,,,
Mucor racemosus IgA,Mucor racemosus IgA,,TEMPORAL,,,,
Mucor racemosus IgE,Mucor racemosus IgE,,TEMPORAL,,,,
Mucor racemosus IgG,Mucor racemosus IgG,,TEMPORAL,,,,
Mucor racemosus IgG4,Mucor racemosus IgG4,,TEMPORAL,,,,
Mucous Threads,Mucous Threads,,TEMPORAL,,,,
Mumps Virus IgG Antibody,Mumps Virus IgG Antibody,,TEMPORAL,,,,
Murinoglobulin,Murinoglobulin,,TEMPORAL,,,,
Mycobacterium tuberculosis IgA Antibody,Mycobacterium tuberculosis IgA Antibody,,TEMPORAL,,,,
Mycobacterium tuberculosis IgE Antibody,Mycobacterium tuberculosis IgE Antibody,,TEMPORAL,,,,
Mycobacterium tuberculosis IgG Antibody,Mycobacterium tuberculosis IgG Antibody,,TEMPORAL,,,,
Mycobacterium tuberculosis Nucleic Acid,Mycobacterium tuberculosis Nucleic Acid,,TEMPORAL,,,,
Myelin Antibodies,Myelin Antibodies,,TEMPORAL,,,,
Myelin Basic Protein,Myelin Basic Protein,,TEMPORAL,,,,
Myeloblasts,Myeloblasts,,TEMPORAL,,,,
Myeloblasts/Leukocytes,Myeloblasts/Leukocytes,,TEMPORAL,,,,
Myeloblasts/Total Cells,Myeloblasts/Total Cells,,TEMPORAL,,,,
Myelocytes,Myelocytes,,TEMPORAL,,,,
Myelocytes/Leukocytes,Myelocytes/Leukocytes,,TEMPORAL,,,,
Myelocytes/Total Cells,Myelocytes/Total Cells,,TEMPORAL,,,,
Myeloid Maturation Index,Myeloid Maturation Index,,TEMPORAL,,,,
Myeloid Maturation Pool,Myeloid Maturation Pool,,TEMPORAL,,,,
Myeloid Progenitor Cells,Myeloid Progenitor Cells,,TEMPORAL,,,,
Myeloid Proliferation Index,Myeloid Proliferation Index,,TEMPORAL,,,,
Myeloid Proliferation Pool,Myeloid Proliferation Pool,,TEMPORAL,,,,
Myeloid/Erythroid Ratio,Myeloid/Erythroid Ratio,,TEMPORAL,,,,
Myeloperoxidase,Myeloperoxidase,,TEMPORAL,,,,
Myeloperoxidase Antibody,Myeloperoxidase Antibody,,TEMPORAL,,,,
Myeloperoxidase Index,Myeloperoxidase Index,,TEMPORAL,,,,
Myoglobin,Myoglobin,,TEMPORAL,,,,
Myoglobin/Creatinine,Myoglobin/Creatinine,,TEMPORAL,,,,
Myosin Light Chain 3,"Cardiac myosin light chain 1|Myosin Light Chain 3|Myosin light chain 1, slow-twitch muscle B/ventricular isoform",,TEMPORAL,,,,
N-Acetyl Glucosamide,N-Acetyl Glucosamide|N-Acetyl Glucosamine,,TEMPORAL,,,,
N-Acetyl Glucosamide/Creatinine,N-Acetyl Glucosamide/Creatinine,,TEMPORAL,,,,
N-acetyl-beta-D-glucosaminidase,Beta-N-acetyl-D-glucosaminidase|N-acetyl-beta-D-glucosaminidase,,TEMPORAL,,,,
N-telopeptide,N-telopeptide,,TEMPORAL,,,,
N-telopeptide/Creatinine,N-telopeptide/Creatinine,,TEMPORAL,,,,
N-Terminal ProA-type Natriuretic Peptide,N-Terminal ProA-type Natriuretic Peptide|N-terminal pro-Atrial Natriuretic Peptide|NT proANP II,,TEMPORAL,,,,
N-Terminal ProB-type Natriuretic Peptide,N-Terminal ProB-type Natriuretic Peptide|N-terminal pro-Brain Natriuretic Peptide|NT proBNP II,,TEMPORAL,,,,
Natural Killer Cell Function,Natural Killer Cell Activity|Natural Killer Cell Function,,TEMPORAL,,,,
Natural Killer Cells,Natural Killer Cells,,TEMPORAL,,,,
Neisseria gonorrhoeae Screening,Neisseria gonorrhoeae Screening,,TEMPORAL,,,,
Neopterin,Neopterin,,TEMPORAL,,,,
Nerve Growth Factor,Nerve Growth Factor,,TEMPORAL,,,,
Neurofilament Light Chain Protein,"Neurofilament Light Chain Protein|Neurofilament Light Polypeptide|Protein Phosphatase 1, Regulatory Subunit 110",,TEMPORAL,,,,
Neuron Specific Enolase,Enolase 2|Gamma-enolase|Neuron Specific Enolase,,TEMPORAL,,,,
Neuropeptide Y,Neuropeptide Y,,TEMPORAL,,,,
Neutrophil Elastase,Neutrophil Elastase,,TEMPORAL,,,,
"Neutrophil Elastase, Polymorphonuclear","Neutrophil Elastase, Polymorphonuclear",,TEMPORAL,,,,
Neutrophilic Metamyelocytes,Neutrophilic Metamyelocytes,,TEMPORAL,,,,
Neutrophilic Myelocytes,Neutrophilic Myelocytes,,TEMPORAL,,,,
Neutrophilic Toxic Change,Neutrophilic Toxic Change,,TEMPORAL,,,,
Neutrophils,ANC|Neutrophils,,TEMPORAL,,,,
Neutrophils Band Form,Neutrophils Band Form,,TEMPORAL,,,,
Neutrophils Band Form/ Neutrophils,Neutrophils Band Form/ Neutrophils,,TEMPORAL,,,,
Neutrophils Band Form/Leukocytes,Neutrophils Band Form/Leukocytes,,TEMPORAL,,,,
"Neutrophils, Segmented","Neutrophils, Segmented",,TEMPORAL,,,,
"Neutrophils, Segmented/Leukocytes","Neutrophils, Segmented/Leukocytes",,TEMPORAL,,,,
"Neutrophils, Segmented/Neutrophils","Neutrophils, Segmented/Neutrophils",,TEMPORAL,,,,
Neutrophils/Leukocytes,Neutrophils/Leukocytes,,TEMPORAL,,,,
Neutrophils/Non-Squam Epi Cells,Neutrophils/Non-Squam Epi Cells,,TEMPORAL,,,,
Neutrophils/Total Cells,Neutrophils/Total Cells,,TEMPORAL,,,,
Niacin,Niacin|Vitamin B3,,TEMPORAL,,,,
Nitric Oxide,NO|Nitric Oxide,%,ALL_OTHER,%,,,
